;tramo;tipo_tramo;punto_idx;punto_id;x_cm;y_cm;z_cm;dist_seg_cm;dist_acum_m;diametro_m_excel;escenario_marea
221;D-E;cerrado;92;Punto 92;-290,4;-1139,2;62,6;427,5124676544533;660,5194994699503;0,2086;1.5 m bajo marea alta
222;D-E;cerrado;93;Punto 93;0,0;-800,0;0,0;450,896396082293;665,0284634307733;0,2086;1.5 m bajo marea alta
223;D-E;cerrado;90;Punto 90;-4086,2;-1348,6;97,9;4124,024346436378;622,5073714587882;0,2086;Marea media
224;D-E;cerrado;91;Punto 91;-712,5;-1347,1;97,9;3373,700333461761;656,2443747934058;0,2086;Marea media
225;D-E;cerrado;92;Punto 92;-290,4;-1289,2;62,6;427,5124676544533;660,5194994699503;0,2086;Marea media
226;D-E;cerrado;93;Punto 93;0,0;-950,0;0,0;450,896396082293;665,0284634307733;0,2086;Marea media
227;D-E;cerrado;90;Punto 90;-4086,2;-1498,6;97,9;4124,024346436378;622,5073714587882;0,2086;1.5 m sobre marea baja
228;D-E;cerrado;91;Punto 91;-712,5;-1497,1;97,9;3373,700333461761;656,2443747934058;0,2086;1.5 m sobre marea baja
229;D-E;cerrado;92;Punto 92;-290,4;-1439,2;62,6;427,5124676544533;660,5194994699503;0,2086;1.5 m sobre marea baja
230;D-E;cerrado;93;Punto 93;0,0;-1100,0;0,0;450,896396082293;665,0284634307733;0,2086;1.5 m sobre marea baja
231;D-E;cerrado;90;Punto 90;-4086,2;-1648,6;97,9;4124,024346436378;622,5073714587882;0,2086;Marea baja
